date,close
5/17/2019,138.61
5/18/2019,138.21
5/19/2019,136.91
5/20/2019,136.82
5/21/2019,137.2
5/22/2019,139.05
5/23/2019,138.73
5/24/2019,139.79
5/25/2019,139.97
5/26/2019,142.09
5/27/2019,142.01
5/28/2019,141.28
5/29/2019,141.95
5/30/2019,141.2
5/31/2019,139.84
6/1/2019,140.39
6/2/2019,139.65
6/3/2019,139.2
6/4/2019,139.9
6/5/2019,137.83
6/6/2019,137.52
6/7/2019,138.52
6/8/2019,138.02
6/9/2019,136.52
6/10/2019,135.98
6/11/2019,135.21
6/12/2019,135.58
6/13/2019,135.57
6/14/2019,136.14
6/15/2019,136.18
6/16/2019,135.57
6/17/2019,137.17
6/18/2019,137.71
6/19/2019,138.98
6/20/2019,139.79
6/21/2019,138.88
6/22/2019,138.7
6/23/2019,138.57
6/24/2019,136.61
6/25/2019,136.91
6/26/2019,138.1
6/27/2019,137.29
6/28/2019,138.44
6/29/2019,137.17
6/30/2019,137.6
7/1/2019,138.02
7/2/2019,139.41
7/3/2019,139.18
7/4/2019,138.56
7/5/2019,138.06
7/6/2019,138.24
7/7/2019,139.09
7/8/2019,138.77
7/9/2019,138.48
7/10/2019,138.35
7/11/2019,136.64
7/12/2019,135.87
7/13/2019,136.11
7/14/2019,136.2
7/15/2019,136.6
7/16/2019,135.42
7/17/2019,136.35
7/18/2019,135.69
7/19/2019,136.38
7/20/2019,134.31
7/21/2019,134.45
7/22/2019,134.16
7/23/2019,132
7/24/2019,132.4
7/25/2019,132.05
7/26/2019,133
7/27/2019,132.88
7/28/2019,132.88
7/29/2019,134.2
7/30/2019,133.08
7/31/2019,131.64
8/1/2019,130.33
8/2/2019,128.99
8/3/2019,128.23
8/4/2019,127.03
8/5/2019,128.8
8/6/2019,128.8
8/7/2019,130.69
8/8/2019,129.09
8/9/2019,128.04
8/10/2019,129.36
8/11/2019,128.28
8/12/2019,129.75
8/13/2019,129.71
8/14/2019,128.93
8/15/2019,129.96
8/16/2019,127.01
8/17/2019,127.83
8/18/2019,125.72
8/19/2019,127.75
8/20/2019,129.05
8/21/2019,127.27
8/22/2019,127.41
8/23/2019,126.71
8/24/2019,122.84
8/25/2019,128.09
8/26/2019,128.27
8/27/2019,127.61
8/28/2019,130.42
8/29/2019,129.14
8/30/2019,133
8/31/2019,147.84
9/1/2019,147.1
